新MJ_ID	新unicode	新note	旧MJ_ID	旧unicode 旧note
MJ011802	慈	なりたち：常用漢字は省略形による。	MJ011804	慈
MJ011726	愉	（参考）愈は別字。	MJ011725	missing
MJ011850	慨	なりたち：常用漢字は省略形による。	MJ011852	慨
MJ011814	慎	なりたち：常用漢字は省略形による。	MJ011784	愼
MJ011821	慕		MJ011822	missing
MJ011848	慧		MJ011847	missing
MJ011904	憎	なりたち：常用漢字は省略形の俗字による。	MJ030259	憎
MJ011949	憲		MJ011950	missing
MJ011935	憧		MJ011936	missing
MJ011932	憤		MJ011931	missing
MJ011956	憶		MJ011957	missing
MJ011988	懐	なりたち：常用漢字は省略形による。	MJ012034	懷
MJ012027	懲	なりたち：常用漢字は省略形による。	MJ030261	懲
MJ012063	成	なりたち：教育漢字は省略形による。	MJ012064	missing
MJ012088	戦	なりたち：教育漢字は省略形による。	MJ012099	戰
MJ025051	賊		MJ025050	missing
MJ012098	戯	なりたち：常用漢字は省略形の俗字による。	MJ012101	戲
MJ012108	戸		MJ012107	戶
MJ012112	戻	なりたち：常用漢字は省略形による。	MJ012115	戾
MJ012117	房		MJ012116	missing
MJ012130	扇		MJ012129	missing	入力者註：正確には※(glyphwiki u6247-var-001)
MJ012136	扉	入力者註：非の左下は突き出る	MJ012135	missing	入力者註：非の左下は突き出ない
MJ012148	払	なりたち：常用漢字は省略形による。	MJ012257	拂
MJ012178	扱		MJ012179	missing
MJ012194	技		MJ012195	missing
MJ012226	択	なりたち：常用漢字は睪のかわりに尺を音符とした俗字による。	MJ012814	擇
MJ012224	抜	なりたち：常用漢字は省略形による。	MJ012279	拔
MJ012293	拡	なりたち：教育漢字は省略形の俗字による。	MJ012869	擴
MJ012277	拒		MJ012276	missing
MJ012292	拠	なりたち：常用漢字は俗字による。	MJ012835	據
MJ012260	担	担の旧字(B);音：タン・ケツ;なりたち：手で撃つ意を表わす。俗に、擔の略字として用いられている。教育漢字はこれによる。	MJ012829	擔	担の旧字(A);音：タン;なりたち：「になう」意を表わす。儋の異体字。
MJ012289	拝	なりたち：教育漢字は省略形による。	MJ012288	拜
MJ012242	抱		MJ012241	missing
MJ012348	挙	なりたち：教育漢字は省略形による。	MJ012849	擧
MJ012349	挟	なりたち：常用漢字は俗字による。	MJ012378	挾
MJ012304	拳		MJ012303	missing
MJ012419	捜	なりたち：常用漢字はその［＝旧字搜の］省略形による。	MJ012618	搜	なりたち：［本字𢯱の］音符を叟にかえて搜としたもの。
MJ012379	挿	なりたち：常用漢字は俗字の省略形による。	MJ012541	插
MJ012508	掲	なりたち：常用漢字は俗字による。	MJ012573	揭
MJ012495	控		MJ012496	missing
MJ012489	採		MJ012488	missing
MJ012425	捨	なりたち：教育漢字は俗字による。	MJ012424	missing
MJ012493	接		--------	missing	入力者註：正確には※(glyphwiki kk-shusei_kr043904 立の一画目を横棒に)
MJ012456	掃		MJ012455	missing
MJ012537	描		MJ012538	missing
MJ012582	援		MJ012581	missing
MJ012642	搭		MJ012643	missing
MJ012589	揺	なりたち：常用漢字は省略形による。	MJ012611	搖
MJ012666	摂	なりたち：常用漢字は省略形による。	MJ012918	攝
MJ012742	撃	なりたち：常用漢字は省略形による。	MJ012817	擊
MJ012685	摘		MJ012686	missing
MJ012709	摩		MJ012708	missing
MJ012940	支		MJ012941	missing
MJ012960	政		MJ012961	missing
MJ012976	敏	なりたち：常用漢字は省略形による。	MJ030262	敏
MJ012987	教	なりたち：教育漢字は俗字による。	MJ012975	敎
MJ013006	敬	なりたち：教育漢字は省略形による。	MJ013007	missing
MJ013013	数	なりたち：教育漢字は俗字による。	MJ013024	數
MJ013018	敵		MJ013019	missing
MJ013022	敷		MJ013021	missing
MJ009412	変	なりたち：教育漢字は俗字による。	MJ024841	變
MJ013040	文		MJ013041	missing
MJ013051	斐	（参考）裴は別字。;入力者註：非の左下は突き出ない	MJ013053	missing	入力者註：非の左下は突き出る
MJ012120	所		MJ012119	missing
MJ013083	断	なりたち：教育漢字は省略形の俗字による。	MJ013097	斷
MJ013111	旅		MJ013110	missing
MJ013146	既	なりたち：常用漢字は俗字による。	MJ013147	既
MJ013151	日		MJ013152	missing
MJ013201	明		MJ013202	missing
MJ013255	昼	なりたち：教育漢字は俗字による。	MJ013286	晝
MJ013270	晋	なりたち：人名漢字は俗字による。	MJ013268	晉
MJ013288	晟		MJ013289	missing
MJ013329	暁	なりたち：常用漢字は省略形による。	MJ013426	曉
MJ013348	暑	なりたち：教育漢字は省略形による。	MJ030264	暑
MJ013313	晴		MJ030199	missing
MJ013301	晩		MJ013283	晚
MJ013356	暗		MJ013357	missing
MJ013355	暖		MJ013354	missing
MJ013383	暮		MJ013384	missing
MJ013376	暦	なりたち：常用漢字は省略形による。;（参考）清代には天子のいみ名を避けて、かわりに歴・厤を用いた。	MJ013423	曆
MJ013447	曙		MJ013448	missing
MJ013454	曜		MJ013453	missing
MJ013482	更		MJ013483	missing
MJ013520	月		MJ013519	missing
MJ013521	有		MJ013522	missing	なりたち：肉（[にくづき]。月は誤り変わった形）
MJ013528	服		MJ013527	missing
MJ013525	朋		MJ013524	missing
MJ013536	朔		MJ013537	missing
MJ013540	朕	（参考）眹は別字。	MJ013539	missing
MJ013542	朗	なりたち：教育漢字は省略形による。	MJ013543	朗
MJ013550	望		MJ013549	missing
MJ013562	期		MJ013563	missing
MJ013558	朝		MJ013557	missing
MJ013636	条	なりたち：教育漢字は省略形の俗字による。	MJ013991	條
MJ013667	松		MJ013668	missing
MJ013711	枢	なりたち：常用漢字は省略形による。	MJ014438	樞
MJ013820	栄	なりたち：教育漢字は省略形による。	MJ014298	榮
MJ013751	柊		MJ013750	missing
MJ013794	柱		MJ013795	missing
MJ013742	柄		MJ013743	missing
MJ013917	桜		MJ014706	櫻
MJ013874	核		MJ013875	missing
